Total Parameters: 326208
Epoch: 052, Loss: 0.4964, Val: 0.9231, Test: 0.9251, Train A/P/R: 0.8283/1.0000/0.8283, Test A/P/R: 0.8650/0.9143/0.8055
Epoch: 053, Loss: 0.4956, Val: 0.9194, Test: 0.9215, Train A/P/R: 0.8119/1.0000/0.8119, Test A/P/R: 0.8612/0.9210/0.7902
Epoch: 054, Loss: 0.4956, Val: 0.9225, Test: 0.9245, Train A/P/R: 0.8361/1.0000/0.8361, Test A/P/R: 0.8664/0.9104/0.8129
Epoch: 055, Loss: 0.4955, Val: 0.9240, Test: 0.9259, Train A/P/R: 0.8504/1.0000/0.8504, Test A/P/R: 0.8685/0.9027/0.8260
Epoch: 056, Loss: 0.4951, Val: 0.9198, Test: 0.9220, Train A/P/R: 0.8304/1.0000/0.8304, Test A/P/R: 0.8651/0.9127/0.8075
Epoch: 057, Loss: 0.4948, Val: 0.9184, Test: 0.9206, Train A/P/R: 0.8224/1.0000/0.8224, Test A/P/R: 0.8634/0.9163/0.7999
Epoch: 058, Loss: 0.4942, Val: 0.9238, Test: 0.9258, Train A/P/R: 0.8481/1.0000/0.8481, Test A/P/R: 0.8682/0.9042/0.8237
Epoch: 059, Loss: 0.4939, Val: 0.9245, Test: 0.9265, Train A/P/R: 0.8482/1.0000/0.8482, Test A/P/R: 0.8684/0.9046/0.8237
Epoch: 060, Loss: 0.4940, Val: 0.9212, Test: 0.9233, Train A/P/R: 0.8252/1.0000/0.8252, Test A/P/R: 0.8645/0.9160/0.8026
Epoch: 061, Loss: 0.4937, Val: 0.9233, Test: 0.9253, Train A/P/R: 0.8387/1.0000/0.8387, Test A/P/R: 0.8672/0.9097/0.8153
Epoch: 062, Loss: 0.4928, Val: 0.9254, Test: 0.9273, Train A/P/R: 0.8558/1.0000/0.8558, Test A/P/R: 0.8696/0.9008/0.8307
Epoch: 063, Loss: 0.4931, Val: 0.9209, Test: 0.9230, Train A/P/R: 0.8346/1.0000/0.8346, Test A/P/R: 0.8661/0.9110/0.8115
Epoch: 064, Loss: 0.4924, Val: 0.9210, Test: 0.9231, Train A/P/R: 0.8372/1.0000/0.8372, Test A/P/R: 0.8665/0.9097/0.8138
Epoch: 065, Loss: 0.4922, Val: 0.9251, Test: 0.9270, Train A/P/R: 0.8586/1.0000/0.8586, Test A/P/R: 0.8700/0.8991/0.8335
Epoch: 066, Loss: 0.4919, Val: 0.9220, Test: 0.9241, Train A/P/R: 0.8391/1.0000/0.8391, Test A/P/R: 0.8671/0.9093/0.8156
Epoch: 067, Loss: 0.4914, Val: 0.9230, Test: 0.9250, Train A/P/R: 0.8421/1.0000/0.8421, Test A/P/R: 0.8676/0.9080/0.8181
Epoch: 068, Loss: 0.4909, Val: 0.9262, Test: 0.9279, Train A/P/R: 0.8612/1.0000/0.8612, Test A/P/R: 0.8705/0.8982/0.8357
Epoch: 069, Loss: 0.4910, Val: 0.9216, Test: 0.9236, Train A/P/R: 0.8377/1.0000/0.8377, Test A/P/R: 0.8668/0.9102/0.8139
Epoch: 070, Loss: 0.4909, Val: 0.9245, Test: 0.9263, Train A/P/R: 0.8548/1.0000/0.8548, Test A/P/R: 0.8695/0.9015/0.8296
Epoch: 071, Loss: 0.4899, Val: 0.9249, Test: 0.9267, Train A/P/R: 0.8576/1.0000/0.8576, Test A/P/R: 0.8681/0.8965/0.8323
Epoch: 072, Loss: 0.4895, Val: 0.9220, Test: 0.9240, Train A/P/R: 0.8405/1.0000/0.8405, Test A/P/R: 0.8642/0.9028/0.8164
Epoch: 073, Loss: 0.4896, Val: 0.9278, Test: 0.9296, Train A/P/R: 0.8713/1.0000/0.8713, Test A/P/R: 0.8686/0.8867/0.8452
Epoch: 074, Loss: 0.4896, Val: 0.9212, Test: 0.9233, Train A/P/R: 0.8318/1.0000/0.8318, Test A/P/R: 0.8613/0.9038/0.8086
Epoch: 075, Loss: 0.4897, Val: 0.9290, Test: 0.9307, Train A/P/R: 0.8777/1.0000/0.8777, Test A/P/R: 0.8683/0.8813/0.8512
Epoch: 076, Loss: 0.4892, Val: 0.9210, Test: 0.9231, Train A/P/R: 0.8340/1.0000/0.8340, Test A/P/R: 0.8601/0.8995/0.8108
Epoch: 077, Loss: 0.4889, Val: 0.9291, Test: 0.9308, Train A/P/R: 0.8793/1.0000/0.8793, Test A/P/R: 0.8674/0.8784/0.8528
Epoch: 078, Loss: 0.4892, Val: 0.9220, Test: 0.9240, Train A/P/R: 0.8361/1.0000/0.8361, Test A/P/R: 0.8601/0.8977/0.8127
Epoch: 079, Loss: 0.4884, Val: 0.9292, Test: 0.9309, Train A/P/R: 0.8775/1.0000/0.8775, Test A/P/R: 0.8671/0.8793/0.8511
Epoch: 080, Loss: 0.4884, Val: 0.9237, Test: 0.9257, Train A/P/R: 0.8451/1.0000/0.8451, Test A/P/R: 0.8616/0.8936/0.8209
Epoch: 081, Loss: 0.4880, Val: 0.9277, Test: 0.9294, Train A/P/R: 0.8695/1.0000/0.8695, Test A/P/R: 0.8653/0.8824/0.8430
Epoch: 082, Loss: 0.4875, Val: 0.9258, Test: 0.9276, Train A/P/R: 0.8598/1.0000/0.8598, Test A/P/R: 0.8636/0.8865/0.8340
Epoch: 083, Loss: 0.4872, Val: 0.9257, Test: 0.9275, Train A/P/R: 0.8591/1.0000/0.8591, Test A/P/R: 0.8636/0.8869/0.8333
Epoch: 084, Loss: 0.4872, Val: 0.9280, Test: 0.9297, Train A/P/R: 0.8722/1.0000/0.8722, Test A/P/R: 0.8658/0.8812/0.8457
Epoch: 085, Loss: 0.4868, Val: 0.9227, Test: 0.9247, Train A/P/R: 0.8452/1.0000/0.8452, Test A/P/R: 0.8608/0.8922/0.8208
Epoch: 086, Loss: 0.4872, Val: 0.9307, Test: 0.9323, Train A/P/R: 0.8936/1.0000/0.8936, Test A/P/R: 0.8679/0.8690/0.8665
Epoch: 087, Loss: 0.4887, Val: 0.9112, Test: 0.9134, Train A/P/R: 0.7998/1.0000/0.7998, Test A/P/R: 0.8476/0.9040/0.7779
Epoch: 088, Loss: 0.4922, Val: 0.9358, Test: 0.9369, Train A/P/R: 0.9270/1.0000/0.9270, Test A/P/R: 0.8661/0.8422/0.9009
Epoch: 089, Loss: 0.4969, Val: 0.9139, Test: 0.9161, Train A/P/R: 0.7899/1.0000/0.7899, Test A/P/R: 0.8468/0.9109/0.7688
Epoch: 090, Loss: 0.4934, Val: 0.9252, Test: 0.9271, Train A/P/R: 0.8501/1.0000/0.8501, Test A/P/R: 0.8629/0.8926/0.8250
Epoch: 091, Loss: 0.4867, Val: 0.9341, Test: 0.9354, Train A/P/R: 0.9193/1.0000/0.9193, Test A/P/R: 0.8667/0.8487/0.8924
Epoch: 092, Loss: 0.4941, Val: 0.9113, Test: 0.9135, Train A/P/R: 0.8073/1.0000/0.8073, Test A/P/R: 0.8489/0.9003/0.7849
Epoch: 093, Loss: 0.4913, Val: 0.9240, Test: 0.9260, Train A/P/R: 0.8522/1.0000/0.8522, Test A/P/R: 0.8621/0.8895/0.8269
